(-0.3720151000, 1.1842840000, 0.5140368000),(-0.0698329600, 0.3183019000, -0.0551275300, 0.9438052000),2/19/2021 11:00:20 AM
(-0.3715679000, 1.1841770000, 0.5127466000),(-0.0702848800, 0.3258771000, -0.0540533000, 0.9412451000),2/19/2021 11:00:20 AM
(-0.3686532000, 1.1844580000, 0.5099370000),(-0.0702640000, 0.3441328000, -0.0524619700, 0.9348173000),2/19/2021 11:00:20 AM
(-0.3640805000, 1.1854950000, 0.5051208000),(-0.0748355200, 0.3759395000, -0.0502385600, 0.9222502000),2/19/2021 11:00:20 AM
(-0.3572422000, 1.1866550000, 0.4994497000),(-0.0829740800, 0.4181644000, -0.0520508400, 0.9030750000),2/19/2021 11:00:20 AM
(-0.3502724000, 1.1860440000, 0.4905608000),(-0.0866371900, 0.4663377000, -0.0526093600, 0.8787806000),2/19/2021 11:00:20 AM
(-0.3457128000, 1.1852320000, 0.4827801000),(-0.0900710200, 0.5013139000, -0.0598798400, 0.8584788000),2/19/2021 11:00:20 AM
(-0.3425319000, 1.1852340000, 0.4754736000),(-0.0971768300, 0.5290261000, -0.0609591500, 0.8408163000),2/19/2021 11:00:20 AM
(-0.3403018000, 1.1851890000, 0.4666073000),(-0.1075955000, 0.5576273000, -0.0648822600, 0.8205274000),2/19/2021 11:00:21 AM
(-0.3401411000, 1.1845460000, 0.4563023000),(-0.1167565000, 0.5847674000, -0.0761827200, 0.7991315000),2/19/2021 11:00:21 AM
(-0.3416653000, 1.1846440000, 0.4499396000),(-0.1232270000, 0.5946116000, -0.0822978200, 0.7902400000),2/19/2021 11:00:21 AM
(-0.3434870000, 1.1854930000, 0.4450203000),(-0.1318027000, 0.5980142000, -0.0838282500, 0.7861170000),2/19/2021 11:00:21 AM
(-0.3459405000, 1.1866590000, 0.4412316000),(-0.1396875000, 0.5972384000, -0.0827797100, 0.7854561000),2/19/2021 11:00:21 AM
(-0.3494140000, 1.1892900000, 0.4365021000),(-0.1474283000, 0.5934133000, -0.0751110000, 0.7877081000),2/19/2021 11:00:21 AM
(-0.3509843000, 1.1898280000, 0.4340508000),(-0.1519041000, 0.5904947000, -0.0745150400, 0.7891062000),2/19/2021 11:00:21 AM
(-0.3519267000, 1.1898730000, 0.4311621000),(-0.1554160000, 0.5902452000, -0.0771695000, 0.7883536000),2/19/2021 11:00:21 AM
(-0.3522415000, 1.1894760000, 0.4273170000),(-0.1590985000, 0.5942138000, -0.0800601800, 0.7843392000),2/19/2021 11:00:21 AM
(-0.3529913000, 1.1886040000, 0.4221850000),(-0.1573680000, 0.6017576000, -0.0840211400, 0.7785009000),2/19/2021 11:00:21 AM
(-0.3536063000, 1.1876140000, 0.4199019000),(-0.1560035000, 0.6029102000, -0.0901305500, 0.7771993000),2/19/2021 11:00:21 AM
(-0.3555602000, 1.1883550000, 0.4180581000),(-0.1595443000, 0.5978544000, -0.0936391800, 0.7799663000),2/19/2021 11:00:21 AM
(-0.3571331000, 1.1896210000, 0.4194489000),(-0.1590008000, 0.5912570000, -0.0903630900, 0.7854734000),2/19/2021 11:00:21 AM
(-0.3595758000, 1.1922920000, 0.4247520000),(-0.1572438000, 0.5706667000, -0.0824494600, 0.8017581000),2/19/2021 11:00:21 AM
(-0.3622883000, 1.1956440000, 0.4343502000),(-0.1557879000, 0.5300644000, -0.0738925600, 0.8302420000),2/19/2021 11:00:21 AM
(-0.3703200000, 1.2014130000, 0.4585771000),(-0.1483222000, 0.4152062000, -0.0686269300, 0.8949273000),2/19/2021 11:00:21 AM
(-0.3801908000, 1.2064610000, 0.4806838000),(-0.1442413000, 0.2964113000, -0.0703267300, 0.9414823000),2/19/2021 11:00:21 AM
(-0.3906930000, 1.2083050000, 0.4975499000),(-0.1239417000, 0.1668732000, -0.0779402900, 0.9750472000),2/19/2021 11:00:21 AM
(-0.4055856000, 1.2046660000, 0.5078848000),(-0.0878426100, 0.0180369000, -0.0925927800, 0.9916577000),2/19/2021 11:00:22 AM
(-0.4191674000, 1.1997720000, 0.5056164000),(-0.0650562900, -0.0711090500, -0.0941702400, 0.9908800000),2/19/2021 11:00:22 AM
(-0.4444376000, 1.1989990000, 0.4860392000),(-0.0592743600, -0.1340334000, -0.0624578100, 0.9872288000),2/19/2021 11:00:22 AM
(-0.4496936000, 1.1996160000, 0.4834259000),(-0.0716933100, -0.1289824000, -0.0444266600, 0.9880536000),2/19/2021 11:00:22 AM
(-0.4526771000, 1.1988510000, 0.4837196000),(-0.0675128000, -0.1413643000, -0.0430874600, 0.9867126000),2/19/2021 11:00:22 AM
(-0.4519393000, 1.1989240000, 0.4868242000),(-0.0635699700, -0.1465767000, -0.0485549000, 0.9859597000),2/19/2021 11:00:22 AM
(-0.4510958000, 1.1979950000, 0.4892207000),(-0.0605145400, -0.1432104000, -0.0509740000, 0.9865244000),2/19/2021 11:00:22 AM
(-0.4500473000, 1.1970870000, 0.4915265000),(-0.0565932000, -0.1378187000, -0.0519947100, 0.9874714000),2/19/2021 11:00:22 AM
(-0.4515181000, 1.1967710000, 0.4931509000),(-0.0553858100, -0.1372645000, -0.0510682100, 0.9876654000),2/19/2021 11:00:22 AM
(-0.4542868000, 1.1961900000, 0.4944877000),(-0.0534709000, -0.1462812000, -0.0468743700, 0.9866841000),2/19/2021 11:00:23 AM
(-0.4583693000, 1.1948830000, 0.4952520000),(-0.0496395700, -0.1555302000, -0.0415977100, 0.9857058000),2/19/2021 11:00:23 AM
(-0.4616118000, 1.1949640000, 0.4959029000),(-0.0476493800, -0.1634784000, -0.0334399500, 0.9848280000),2/19/2021 11:00:23 AM
(-0.4671790000, 1.1940280000, 0.4965796000),(-0.0458597500, -0.1768407000, -0.0236952100, 0.9828850000),2/19/2021 11:00:23 AM
(-0.4719669000, 1.1928100000, 0.4961906000),(-0.0436496300, -0.1891844000, -0.0124723500, 0.9808916000),2/19/2021 11:00:23 AM
(-0.4776818000, 1.1923360000, 0.4960531000),(-0.0416335900, -0.2031109000, 0.0026344860, 0.9782667000),2/19/2021 11:00:23 AM
(-0.4825280000, 1.1915770000, 0.4959698000),(-0.0396853800, -0.2128866000, 0.0104598500, 0.9762146000),2/19/2021 11:00:23 AM
(-0.4847941000, 1.1902300000, 0.4973376000),(-0.0352272800, -0.2133189000, 0.0155225500, 0.9762239000),2/19/2021 11:00:23 AM
(-0.4860067000, 1.1896380000, 0.4986261000),(-0.0314168100, -0.2117043000, 0.0168977400, 0.9766825000),2/19/2021 11:00:23 AM
(-0.4858746000, 1.1888010000, 0.5005235000),(-0.0281443000, -0.2109090000, 0.0151626300, 0.9769828000),2/19/2021 11:00:23 AM
(-0.4855903000, 1.1881160000, 0.5020641000),(-0.0245039100, -0.2088436000, 0.0132828200, 0.9775518000),2/19/2021 11:00:24 AM
(-0.4853642000, 1.1878430000, 0.5034103000),(-0.0250563600, -0.2059357000, 0.0137335300, 0.9781483000),2/19/2021 11:00:24 AM
(-0.4857347000, 1.1874550000, 0.5045531000),(-0.0225157500, -0.2040872000, 0.0138422000, 0.9785959000),2/19/2021 11:00:24 AM
(-0.4862177000, 1.1866840000, 0.5056889000),(-0.0185248900, -0.2036047000, 0.0137921800, 0.9787807000),2/19/2021 11:00:24 AM
(-0.4861700000, 1.1867470000, 0.5064269000),(-0.0166908400, -0.2029287000, 0.0145710400, 0.9789428000),2/19/2021 11:00:24 AM
(-0.4854196000, 1.1861710000, 0.5061348000),(-0.0149563000, -0.1999093000, 0.0163080500, 0.9795645000),2/19/2021 11:00:24 AM
(-0.4852497000, 1.1873970000, 0.5056396000),(-0.0211241500, -0.1994595000, 0.0141777700, 0.9795758000),2/19/2021 11:00:24 AM
(-0.4848544000, 1.1876390000, 0.5045719000),(-0.0228131200, -0.2009274000, 0.0121953500, 0.9792646000),2/19/2021 11:00:24 AM
(-0.4840122000, 1.1876760000, 0.5031372000),(-0.0241704000, -0.1989159000, 0.0114739100, 0.9796513000),2/19/2021 11:00:24 AM
